"uuid","entry","row","column","block","plot","location","species","trait","value","timestamp","person","location","number","device_name"
"0196e260-273e-7447-a83f-5e28f942bc85","PI 490184","1","6","1","0006","KAUST","Sesamum indicum","July 22-24 Growth Stage","3- First Buds To Few Open Flowers","2025-07-22 08:03:03.083+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273e-7447-a840-11a9b1a3adb9","PI 280740","1","7","1","0007","KAUST","Sesamum indicum","July 17 Growth Stage","7- 90% No Open Flowers","2025-07-17 07:13:07.916+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273e-7447-a840-11a9b1a3adb9","PI 280740","1","7","1","0007","KAUST","Sesamum indicum","July 22-24 Growth Stage","7- 90% No Open Flowers","2025-07-22 08:05:16.620+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273e-7447-a840-c64a86b0c371","PI 288623","1","8","1","0008","KAUST","Sesamum indicum","July 17 Growth Stage","4- 50% Or More Have Flowered","2025-07-17 07:13:19.867+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273e-7447-a840-c64a86b0c371","PI 288623","1","8","1","0008","KAUST","Sesamum indicum","July 22-24 Growth Stage","3- First Buds To Few Open Flowers","2025-07-22 08:05:37.960+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273e-7447-a841-7be57040ea67","25K-214","1","9","1","0009","KAUST","Sesamum indicum","July 17 Growth Stage","5- 5 Pairs Of Capsules","2025-07-17 07:13:31.640+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273e-7447-a841-7be57040ea67","25K-214","1","9","1","0009","KAUST","Sesamum indicum","July 22-24 Growth Stage","5- 5 Pairs Of Capsules","2025-07-22 08:05:50.546+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273e-7447-a842-2c4312cacdd7","PI 599457","1","10","1","0010","KAUST","Sesamum indicum","July 17 Growth Stage","6- Stopped Flowering Branches And Minor Plants","2025-07-17 07:13:45.095+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273e-7447-a842-2c4312cacdd7","PI 599457","1","10","1","0010","KAUST","Sesamum indicum","July 22-24 Growth Stage","7- 90% No Open Flowers","2025-07-22 08:05:52.774+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273e-7447-a842-e047b3a24165","25K-239","1","11","1","0011","KAUST","Sesamum indicum","July 17 Growth Stage","5- 5 Pairs Of Capsules","2025-07-17 07:14:03.820+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273e-7447-a842-e047b3a24165","25K-239","1","11","1","0011","KAUST","Sesamum indicum","July 22-24 Growth Stage","5- 5 Pairs Of Capsules","2025-07-22 08:03:58.258+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273f-775d-8562-cc193a9592c1","PI 426950","1","12","1","0012","KAUST","Sesamum indicum","July 17 Growth Stage","4- 50% Or More Have Flowered","2025-07-17 07:14:12.508+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273f-775d-8562-cc193a9592c1","PI 426950","1","12","1","0012","KAUST","Sesamum indicum","July 22-24 Growth Stage","5- 5 Pairs Of Capsules","2025-07-22 08:06:06.355+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273f-775d-8563-81e0270cd0da","25K-079","1","13","1","0013","KAUST","Sesamum indicum","July 17 Growth Stage","4- 50% Or More Have Flowered","2025-07-17 07:14:20.734+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273f-775d-8563-81e0270cd0da","25K-079","1","13","1","0013","KAUST","Sesamum indicum","July 22-24 Growth Stage","4- 50% Or More Have Flowered","2025-07-22 08:06:14.588+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273f-775d-8564-37974ce5d842","PI 599456","1","14","1","0014","KAUST","Sesamum indicum","July 17 Growth Stage","6- Stopped Flowering Branches And Minor Plants","2025-07-17 07:14:35.637+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273f-775d-8564-37974ce5d842","PI 599456","1","14","1","0014","KAUST","Sesamum indicum","July 22-24 Growth Stage","6- Stopped Flowering Branches And Minor Plants","2025-07-22 08:06:24.821+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273f-775d-8564-e83ccf3d06d7","PI 593656","1","15","1","0015","KAUST","Sesamum indicum","July 17 Growth Stage","5- 5 Pairs Of Capsules","2025-07-17 07:14:43.863+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273f-775d-8564-e83ccf3d06d7","PI 593656","1","15","1","0015","KAUST","Sesamum indicum","July 22-24 Growth Stage","6- Stopped Flowering Branches And Minor Plants","2025-07-22 08:07:01.567+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273f-775d-8565-9e570cf76c29","25K-070","1","16","1","0016","KAUST","Sesamum indicum","July 17 Growth Stage","5- 5 Pairs Of Capsules","2025-07-17 07:14:57.003+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273f-775d-8565-9e570cf76c29","25K-070","1","16","1","0016","KAUST","Sesamum indicum","July 22-24 Growth Stage","5- 5 Pairs Of Capsules","2025-07-22 08:07:25.653+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273f-775d-8566-52f815d8ca0f","PI 292144","1","17","1","0017","KAUST","Sesamum indicum","July 17 Growth Stage","5- 5 Pairs Of Capsules","2025-07-17 07:15:06.288+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273f-775d-8566-52f815d8ca0f","PI 292144","1","17","1","0017","KAUST","Sesamum indicum","July 22-24 Growth Stage","5- 5 Pairs Of Capsules","2025-07-22 08:07:39.686+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-2740-747a-898a-e3db6b33c8d8","25K-244","1","18","1","0018","KAUST","Sesamum indicum","July 17 Growth Stage","5- 5 Pairs Of Capsules","2025-07-17 07:15:20.656+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-2740-747a-898a-e3db6b33c8d8","25K-244","1","18","1","0018","KAUST","Sesamum indicum","July 22-24 Growth Stage","5- 5 Pairs Of Capsules","2025-07-22 08:07:47.806+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-2740-747a-898b-95dc438ae324","PI 599505","1","19","1","0019","KAUST","Sesamum indicum","July 17 Growth Stage","5- 5 Pairs Of Capsules","2025-07-17 07:15:39.691+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-2740-747a-898b-95dc438ae324","PI 599505","1","19","1","0019","KAUST","Sesamum indicum","July 22-24 Growth Stage","5- 5 Pairs Of Capsules","2025-07-22 08:08:15.635+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-2740-747a-898c-4a851a2041dc","25K-131","1","20","1","0020","KAUST","Sesamum indicum","July 17 Growth Stage","5- 5 Pairs Of Capsules","2025-07-17 07:15:53.800+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-2740-747a-898c-4a851a2041dc","25K-131","1","20","1","0020","KAUST","Sesamum indicum","July 22-24 Growth Stage","5- 5 Pairs Of Capsules","2025-07-22 08:08:22.913+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-2740-747a-898c-fe730c879bf9","PI 490041","1","21","1","0021","KAUST","Sesamum indicum","July 17 Growth Stage","7- 90% No Open Flowers","2025-07-17 07:16:10.715+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-2740-747a-898c-fe730c879bf9","PI 490041","1","21","1","0021","KAUST","Sesamum indicum","July 22-24 Growth Stage","7- 90% No Open Flowers","2025-07-22 08:08:43.976+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-2740-747a-898c-fe730c879bf9","PI 490041","1","21","1","0021","KAUST","Sesamum indicum","Notes","few capsules dry, most not ready yet","2025-07-22 08:14:08.492+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-2740-747a-898c-fe730c879bf9","PI 490041","1","21","1","0021","KAUST","Sesamum indicum","July 22-24 Growth Stage","8- Physiological Maturity","2025-07-23 11:21:17.811+03:00","Conner Johnson","","2","Pixel 6a"
"0196e260-2740-747a-898c-fe730c879bf9","PI 490041","1","21","1","0021","KAUST","Sesamum indicum","Harvest Date","204","2025-07-23 11:22:08.620+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-2740-747a-898c-fe730c879bf9","PI 490041","1","21","1","0021","KAUST","Sesamum indicum","Lodging Plant Count","0","2025-07-23 11:24:11.981+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-2740-747a-898c-fe730c879bf9","PI 490041","1","21","1","0021","KAUST","Sesamum indicum","Plant Height (Avg.)","105","2025-07-23 11:29:17.739+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-2740-747a-898c-fe730c879bf9","PI 490041","1","21","1","0021","KAUST","Sesamum indicum","First Caps Height (Avg.)","64","2025-07-23 11:33:56.933+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-2740-747a-898c-fe730c879bf9","PI 490041","1","21","1","0021","KAUST","Sesamum indicum","First Caps Height (Avg.)","58","2025-07-23 11:34:00.244+03:00","Conner Johnson","","2","Pixel 6a"
"0196e260-2740-747a-898c-fe730c879bf9","PI 490041","1","21","1","0021","KAUST","Sesamum indicum","First Caps Height (Avg.)","47","2025-07-23 11:34:01.817+03:00","Conner Johnson","","3","Pixel 6a"
"0196e260-2740-747a-898c-fe730c879bf9","PI 490041","1","21","1","0021","KAUST","Sesamum indicum","First Caps Height (Avg.)","50","2025-07-23 11:34:04.517+03:00","Conner Johnson","","4","Pixel 6a"
"0196e260-2740-747a-898c-fe730c879bf9","PI 490041","1","21","1","0021","KAUST","Sesamum indicum","Caps Length (Avg.)","3","2025-07-23 11:36:11.861+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-2740-747a-898c-fe730c879bf9","PI 490041","1","21","1","0021","KAUST","Sesamum indicum","Internode Length (Avg.)","4","2025-07-23 11:38:39.256+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-2740-747a-898c-fe730c879bf9","PI 490041","1","21","1","0021","KAUST","Sesamum indicum","July 22-24 Growth Stage","9- Initial Drydown: Capsules All Changed, Leaves Dropped, Seed 90% Mature","2025-07-23 11:38:51.098+03:00","Conner Johnson","","3","Pixel 6a"
"0196e260-2740-747a-898c-fe730c879bf9","PI 490041","1","21","1","0021","KAUST","Sesamum indicum","Caps Count In One Plant (Avg.)","19","2025-07-23 11:39:54.760+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-2740-747a-898c-fe730c879bf9","PI 490041","1","21","1","0021","KAUST","Sesamum indicum","Caps Count In One Plant (Avg.)","15","2025-07-23 11:39:58.539+03:00","Conner Johnson","","2","Pixel 6a"
"0196e260-2740-747a-898c-fe730c879bf9","PI 490041","1","21","1","0021","KAUST","Sesamum indicum","Caps Count In One Plant (Avg.)","22","2025-07-23 11:40:13.495+03:00","Conner Johnson","","3","Pixel 6a"
"0196e260-2740-747a-898c-fe730c879bf9","PI 490041","1","21","1","0021","KAUST","Sesamum indicum","Caps Count In One Plant (Avg.)","19","2025-07-23 11:40:21.646+03:00","Conner Johnson","","4","Pixel 6a"
"0196e260-2740-747a-898c-fe730c879bf9","PI 490041","1","21","1","0021","KAUST","Sesamum indicum","Caps Count In One Plant (Avg.)","34","2025-07-23 11:40:32.001+03:00","Conner Johnson","","5","Pixel 6a"
"0196e260-2740-747a-898c-fe730c879bf9","PI 490041","1","21","1","0021","KAUST","Sesamum indicum","Caps Count In One Plant (Avg.)","16","2025-07-23 11:40:38.687+03:00","Conner Johnson","","6","Pixel 6a"
"0196e260-2740-747a-898c-fe730c879bf9","PI 490041","1","21","1","0021","KAUST","Sesamum indicum","Plants Count At Harvest","11","2025-07-24 10:56:31.320+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-2740-747a-898d-b16e5288aefd","25K-104","1","22","1","0022","KAUST","Sesamum indicum","July 17 Growth Stage","5- 5 Pairs Of Capsules","2025-07-17 07:16:21.330+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-2740-747a-898d-b16e5288aefd","25K-104","1","22","1","0022","KAUST","Sesamum indicum","July 22-24 Growth Stage","5- 5 Pairs Of Capsules","2025-07-22 08:14:24.239+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-2740-747a-898e-67f59c282a0a","PI 436596","1","23","1","0023","KAUST","Sesamum indicum","July 17 Growth Stage","5- 5 Pairs Of Capsules","2025-07-17 07:16:46.866+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-2740-747a-898e-67f59c282a0a","PI 436596","1","23","1","0023","KAUST","Sesamum indicum","July 22-24 Growth Stage","7- 90% No Open Flowers","2025-07-22 08:14:53.300+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-2740-747a-898f-183f430ee154","25K-178","1","24","1","0024","KAUST","Sesamum indicum","July 17 Growth Stage","5- 5 Pairs Of Capsules","2025-07-17 07:17:01.639+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-2740-747a-898f-183f430ee154","25K-178","1","24","1","0024","KAUST","Sesamum indicum","July 22-24 Growth Stage","5- 5 Pairs Of Capsules","2025-07-22 08:15:03.836+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-2740-747a-898f-cdf6a05d161b","PI 561705","1","25","1","0025","KAUST","Sesamum indicum","July 17 Growth Stage","5- 5 Pairs Of Capsules","2025-07-17 07:17:13.857+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-2740-747a-898f-cdf6a05d161b","PI 561705","1","25","1","0025","KAUST","Sesamum indicum","July 22-24 Growth Stage","5- 5 Pairs Of Capsules","2025-07-22 08:15:16.353+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-2740-747a-8990-809e5d7ed89a","25K-086","1","26","1","0026","KAUST","Sesamum indicum","July 17 Growth Stage","5- 5 Pairs Of Capsules","2025-07-17 07:17:27.583+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-2740-747a-8990-809e5d7ed89a","25K-086","1","26","1","0026","KAUST","Sesamum indicum","July 22-24 Growth Stage","5- 5 Pairs Of Capsules","2025-07-22 08:15:25.111+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273d-74ea-808c-0b8717ccc6f3","PI 561704","2","1","1","0027","KAUST","Sesamum indicum","July 17 Growth Stage","5- 5 Pairs Of Capsules","2025-07-17 07:18:17.163+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273d-74ea-808c-0b8717ccc6f3","PI 561704","2","1","1","0027","KAUST","Sesamum indicum","July 22-24 Growth Stage","5- 5 Pairs Of Capsules","2025-07-22 08:17:22.038+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273d-74ea-808c-bc6a0db8fa86","25K-083","2","2","1","0028","KAUST","Sesamum indicum","July 17 Growth Stage","4- 50% Or More Have Flowered","2025-07-17 07:18:25.538+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273d-74ea-808c-bc6a0db8fa86","25K-083","2","2","1","0028","KAUST","Sesamum indicum","July 22-24 Growth Stage","5- 5 Pairs Of Capsules","2025-07-22 08:17:30.977+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273d-74ea-808d-7062008e2c90","NARC-TILL","2","3","1","0029","KAUST","Sesamum indicum","July 17 Growth Stage","4- 50% Or More Have Flowered","2025-07-17 07:18:40.926+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273d-74ea-808d-7062008e2c90","NARC-TILL","2","3","1","0029","KAUST","Sesamum indicum","July 22-24 Growth Stage","5- 5 Pairs Of Capsules","2025-07-22 08:17:36.431+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273d-74ea-808e-25051f2c3e9d","25K-219","2","4","1","0030","KAUST","Sesamum indicum","July 17 Growth Stage","4- 50% Or More Have Flowered","2025-07-17 07:18:48.026+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273d-74ea-808e-25051f2c3e9d","25K-219","2","4","1","0030","KAUST","Sesamum indicum","July 22-24 Growth Stage","5- 5 Pairs Of Capsules","2025-07-22 08:17:45.919+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273d-74ea-808e-d930ddfc5e2d","PI 599461","2","5","1","0031","KAUST","Sesamum indicum","July 17 Growth Stage","5- 5 Pairs Of Capsules","2025-07-17 07:19:05.915+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273d-74ea-808e-d930ddfc5e2d","PI 599461","2","5","1","0031","KAUST","Sesamum indicum","July 22-24 Growth Stage","5- 5 Pairs Of Capsules","2025-07-22 08:18:02.872+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273e-7447-a83f-631451f8fe1a","25K-248","2","6","1","0032","KAUST","Sesamum indicum","July 17 Growth Stage","5- 5 Pairs Of Capsules","2025-07-17 07:19:30.286+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273e-7447-a83f-631451f8fe1a","25K-248","2","6","1","0032","KAUST","Sesamum indicum","July 22-24 Growth Stage","7- 90% No Open Flowers","2025-07-22 08:20:12.821+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273e-7447-a840-178f8a9a90e5","PI 655061","2","7","1","0033","KAUST","Sesamum indicum","July 17 Growth Stage","4- 50% Or More Have Flowered","2025-07-17 07:19:44.670+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273e-7447-a840-178f8a9a90e5","PI 655061","2","7","1","0033","KAUST","Sesamum indicum","July 22-24 Growth Stage","5- 5 Pairs Of Capsules","2025-07-22 08:20:55.589+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273e-7447-a840-c8cb33256e03","25K-192","2","8","1","0034","KAUST","Sesamum indicum","July 17 Growth Stage","5- 5 Pairs Of Capsules","2025-07-17 07:20:02.960+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273e-7447-a840-c8cb33256e03","25K-192","2","8","1","0034","KAUST","Sesamum indicum","July 22-24 Growth Stage","5- 5 Pairs Of Capsules","2025-07-22 08:21:10.164+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273e-7447-a841-7e73d1aa88e6","Giza 132","2","9","1","0035","KAUST","Sesamum indicum","July 17 Growth Stage","6- Stopped Flowering Branches And Minor Plants","2025-07-17 07:20:59.797+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273e-7447-a841-7e73d1aa88e6","Giza 132","2","9","1","0035","KAUST","Sesamum indicum","July 22-24 Growth Stage","7- 90% No Open Flowers","2025-07-22 08:21:27.522+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273e-7447-a842-32a5e7d8f5ce","25K-059","2","10","1","0036","KAUST","Sesamum indicum","July 17 Growth Stage","6- Stopped Flowering Branches And Minor Plants","2025-07-17 07:20:48.578+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273e-7447-a842-32a5e7d8f5ce","25K-059","2","10","1","0036","KAUST","Sesamum indicum","July 22-24 Growth Stage","5- 5 Pairs Of Capsules","2025-07-22 08:21:51.987+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273e-7447-a842-e55b8d5444c9","PI 490037","2","11","1","0037","KAUST","Sesamum indicum","July 17 Growth Stage","5- 5 Pairs Of Capsules","2025-07-17 07:21:09.904+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273e-7447-a842-e55b8d5444c9","PI 490037","2","11","1","0037","KAUST","Sesamum indicum","July 22-24 Growth Stage","7- 90% No Open Flowers","2025-07-22 08:22:12.971+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273f-775d-8562-d243e0a385e3","25K-004","2","12","1","0038","KAUST","Sesamum indicum","July 17 Growth Stage","6- Stopped Flowering Branches And Minor Plants","2025-07-17 07:21:20.627+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273f-775d-8562-d243e0a385e3","25K-004","2","12","1","0038","KAUST","Sesamum indicum","July 22-24 Growth Stage","7- 90% No Open Flowers","2025-07-22 08:22:23.643+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273f-775d-8562-d243e0a385e3","25K-004","2","12","1","0038","KAUST","Sesamum indicum","Plants Count At Harvest","10","2025-08-03 06:31:16.074+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273f-775d-8562-d243e0a385e3","25K-004","2","12","1","0038","KAUST","Sesamum indicum","Lodging Plant Count","2","2025-08-03 06:31:17.986+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273f-775d-8562-d243e0a385e3","25K-004","2","12","1","0038","KAUST","Sesamum indicum","Harvest Date","215","2025-08-03 06:31:22.670+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273f-775d-8562-d243e0a385e3","25K-004","2","12","1","0038","KAUST","Sesamum indicum","Plant Height (Avg.)","103","2025-08-03 06:31:40.485+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273f-775d-8562-d243e0a385e3","25K-004","2","12","1","0038","KAUST","Sesamum indicum","Plant Height (Avg.)","86","2025-08-03 06:31:41.632+03:00","Conner Johnson","","2","Pixel 6a"
"0196e260-273f-775d-8562-d243e0a385e3","25K-004","2","12","1","0038","KAUST","Sesamum indicum","First Caps Height (Avg.)","50","2025-08-03 06:31:47.882+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273f-775d-8562-d243e0a385e3","25K-004","2","12","1","0038","KAUST","Sesamum indicum","First Caps Height (Avg.)","38","2025-08-03 06:31:49.472+03:00","Conner Johnson","","2","Pixel 6a"
"0196e260-273f-775d-8562-d243e0a385e3","25K-004","2","12","1","0038","KAUST","Sesamum indicum","Plant Height (Avg.)","97","2025-08-03 06:31:58.892+03:00","Conner Johnson","","3","Pixel 6a"
"0196e260-273f-775d-8562-d243e0a385e3","25K-004","2","12","1","0038","KAUST","Sesamum indicum","First Caps Height (Avg.)","49","2025-08-03 06:32:04.191+03:00","Conner Johnson","","3","Pixel 6a"
"0196e260-273f-775d-8562-d243e0a385e3","25K-004","2","12","1","0038","KAUST","Sesamum indicum","Caps Count In One Plant (Avg.)","12","2025-08-03 06:33:03.231+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273f-775d-8562-d243e0a385e3","25K-004","2","12","1","0038","KAUST","Sesamum indicum","Caps Length (Avg.)","3","2025-08-03 06:33:38.948+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273f-775d-8562-d243e0a385e3","25K-004","2","12","1","0038","KAUST","Sesamum indicum","Caps Length (Avg.)","3","2025-08-03 06:33:40.001+03:00","Conner Johnson","","2","Pixel 6a"
"0196e260-273f-775d-8562-d243e0a385e3","25K-004","2","12","1","0038","KAUST","Sesamum indicum","Caps Length (Avg.)","2.5","2025-08-03 06:33:42.068+03:00","Conner Johnson","","3","Pixel 6a"
"0196e260-273f-775d-8562-d243e0a385e3","25K-004","2","12","1","0038","KAUST","Sesamum indicum","Caps Length (Avg.)","3","2025-08-03 06:33:43.808+03:00","Conner Johnson","","4","Pixel 6a"
"0196e260-273f-775d-8562-d243e0a385e3","25K-004","2","12","1","0038","KAUST","Sesamum indicum","Caps Length (Avg.)","3.25","2025-08-03 06:33:49.685+03:00","Conner Johnson","","5","Pixel 6a"
"0196e260-273f-775d-8562-d243e0a385e3","25K-004","2","12","1","0038","KAUST","Sesamum indicum","Caps Length (Avg.)","3","2025-08-03 06:33:51.350+03:00","Conner Johnson","","6","Pixel 6a"
"0196e260-273f-775d-8562-d243e0a385e3","25K-004","2","12","1","0038","KAUST","Sesamum indicum","Caps Length (Avg.)","2.75","2025-08-03 06:33:54.722+03:00","Conner Johnson","","7","Pixel 6a"
"0196e260-273f-775d-8562-d243e0a385e3","25K-004","2","12","1","0038","KAUST","Sesamum indicum","Caps Count In One Plant (Avg.)","16","2025-08-03 06:34:32.047+03:00","Conner Johnson","","2","Pixel 6a"
"0196e260-273f-775d-8562-d243e0a385e3","25K-004","2","12","1","0038","KAUST","Sesamum indicum","Internode Length (Avg.)","3.75","2025-08-03 06:34:37.621+03:00","Conner Johnson","","1","Pixel 6a"
"0196e260-273f-775d-8562-d243e0a385e3","25K-004","2","12","1","0038","KAUST","Sesamum indicum","Internode Length (Avg.)","3.5","2025-08-03 06:34:39.546+03:00","Conner Johnson","","2","Pixel 6a"
"0196e260-273f-775d-8562-d243e0a385e3","25K-004","2","12","1","0038","KAUST","Sesamum indicum","Internode Length (Avg.)","3.75","2025-08-03 06:34:41.239+03:00","Conner Johnson","","3","Pixel 6a"
"0196e260-273f-775d-8562-d243e0a385e3","25K-004","2","12","1","0038","KAUST","Sesamum indicum","Internode Length (Avg.)","5","2025-08-03 06:35:03.412+03:00","Conner Johnson","","6","Pixel 6a"
"0196e260-273f-775d-8562-d243e0a385e3","25K-004","2","12","1","0038","KAUST","Sesamum indicum","Internode Length (Avg.)","4","2025-08-03 06:35:23.672+03:00","Conner Johnson","","7","Pixel 6a"
